,Question,Answers,Right Index
0,What element in the pom.xml file allows you to provide values that can be reused in other elements of the pom.xml?,"['Plugins', 'Build', 'Properties', 'Parent']",3
1,"If you wish to build and package your artifact using the Maven package goal but don't want to execute the unit tests, which environment variable and value would you use?","['maven.test.ignore=TRUE', 'maven.test.run=FALSE', 'maven.test.skip=TRUE', 'maven.verify.execute=FALSE']",2
2,"When building a Maven EAR project and specifying the configuration of which projects to include, what is the element in the plugin configuration that contains Enterprise Java Bean projects?","['modules/webModule', 'modules/ejbModule', 'modules/enterpriseModules', 'modules/services']",1
3,The goal that is executed to generate and deploy a documentation website is _.,"['deliver', 'site', 'doc', 'deploy']",1
4,What does the mvn -version command do?,"['It builds your Maven project.', 'It installs Maven on your computer.', 'It updates Maven to the latest version.', 'It print out your installed version of Maven.']",3
5,"There are several properties available for use in a pom.xml file that refer to details of the project, such as groupId and version. What do all of these properties start with?","['pom', 'maven', 'jar', 'project']",3
6,What directory structure contains the source code of your artifact?,"['src/code', 'src/test/java', 'src/main/java', 'src/main/resources']",2
7,"Which command is used to run the clean lifecyle followed by verify, install, and package with Maven?","['mvn clean istall package', 'mvn package', 'mvn clean install', 'Option 4']",1
8,"Which goal would you use with the Dependency plugin to determine which included dependencies are not used, as well as those you are using that you have not defined?","['dependency:tree', 'dependency:properties', 'dependency:evaluate', 'dependency:analyze']",3
9,"In a multimodule project, if you have a plugin bound to a phase in the parent, it will be bound to the same phase in the module. What strategy could you employ to prevent the plugin from executing in the module?","['In the excluded element of the build section of the POM, list the plugin you do not want to run.', 'Set the phase in the module to none.', 'Set a value in the configuration of the plugin in the module to be excluded like this: TRUE.', 'Do not specify the plugin in the module.']",2
10,"When building a web application with a WAR type project, which project directory should contain the style sheet, JavaScript, and other static file?","['src/main/static', 'src/main/web', 'src/main/resources', 'src/main/webapp']",3
11,"When performing a build, which Maven plugin will allow you to set the specific version of the artifact to be built without manual modifying the pom.xml file?","['Compiler', 'Surefire', 'Versions', 'Javadoc']",2
12,"When building a Maven Archetype, what is the filepath and file of the archetype descriptor that specifies how to lay out the prototype files?","['src/main/template/descriptor.xml', 'src/main/resources/META-INF/maven/archetype-descriptor.xml', 'src/main/archetype/descriptor.xml', 'src/main/resources/META-INF/maven/maven-archetype.xml']",1
13,What is a valid packaging type for a Maven project?,"['WAR', 'all of these answers', 'POM', 'EAR']",1
14,"When two dependencies of your Maven project introduce the same transitive dependency with different versions, which one(s) will be included in the dependency list for your project?","['the dependency with the higher version', 'the transitive dependency that comes from the dependency listed first in the pom.xml file', 'the transitive dependency that comes from the dependency listed last in the pom.xml file', 'the transitive dependency version of the artifact that is closest to your project']",3
15,"Many organizations set up local mirrors to the Maven central repository. In order to leverage your company's Maven repository as a proxy for the Maven central repository, which element should you put into the settings.xml file?","['Replacements', 'Proxies', 'Mirrors', 'LocalRepositories']",3
16,Which Maven plugin would you leverage to specify the version of the compiler to target as well as the source level of the language?,"['Versions', 'Surefire', 'Target', 'Compiler']",3
17,"If your machine is behind a proxy, where should you specify the proxy server settings in order for Maven to access remote resources?","['.m2/proxy.txt', 'pom.xml', 'proxy.xml', 'settings.xml']",3
18,What environment variable can you alter to increase the memory Maven uses?,"['MAVEN_OPTS', 'M2_HOME', 'MAVEN_MEMORY', 'PATH']",0
19,How can you use Maven to run unit tests in parallel?,"['It is not possible to do this.', 'Implement the JUnit dependency and add a configuration that sets the parallel element to true.', 'Specify the Maven Surefire Plugin and add a configuration that sets the parallel element to true.', 'Move each test suite into a separate submodule.']",2
20,What will the mvn dependency:tree command do?,"['Verify the dependencies defined in the POM file.', ""Print out a report of your project's dependencies in a tree format."", 'Download all the transitive dependencies.', 'Prune unused dependencies from your dependency tree.']",1
21,How do you run a single unit test in Maven?,"['Maven runs only a single unit test by default.', 'Use the -Dtest= flag and pass in the name of the test.', 'Use a plugin that can specify the test you want to run.', 'It is not possible to do this.']",1
22,How can Maven profiles be triggered?,"['by explicitly calling the profiles using the -P flag', 'based on environment variables', 'all of these answers', 'through Maven settings']",2
23,Why will an mvn install command not deploy any artifacts to a remote repository?,"['The name of the artifact must also be specified in the command.', 'The name of the remote repository must also be specified in the command.', 'Deploying artifacts to a remote repository must be done manually.', 'The deploy phase of the default Maven lifecycle comes after the install phase.']",3
24,Suppose you want to include a properties file in the JAR generated by your Maven build. What directory should you put it in?,"['${basedir}/src/main/resources', '${basedir}/src/main/java/resources', '${basedir}/resources', '${basedir}/src/main/properties']",0
25,Which structure in a settings.xml file allows for flexing properties based on some value for the runtime of Maven?,"['Environment', 'Properties', 'Switch', 'Profiles']",3
26,What does it mean if the scope of a dependency is runtime?,"['The dependency is not required to compile the project, but is needed at runtime.', 'The dependency is needed at compile time and at runtime, and must be packaged for distribution.', 'The dependency is needed at compile time and at runtime, but does NOT need to be packaged for distribution.', 'The dependency is required for compilation.']",0
27,"If you want to utilitze a locally developed JAR file in another project and that JAR file has not been deployed to either the Maven central repository or your own locally sourced mirror repository, what Maven goal do you need to execute on the locally developed JAR project?","['package', 'install', 'compile', 'test']",1
28,What is the default packaging type for a Maven project build artifact?,"['WAR', 'JAR', 'EAR', 'POM']",1
29,What does the following command do?,"['It does nothing since no archetype has been specified', 'It generates a new Maven archetype', 'It generates a new Maven projet using the default Maven archetype', 'It cleans and installs the sample-maven-project project']",2
30,"When defining a dependency that is included with the runtime container, what scope do you use in the pom.xml?","['provided', 'compile', 'execution', 'runtime']",0
31,What argument do you pass to Maven in order to update SNAPSHOT from the remote repository?,"['-U', '-J', '-X', '-S']",0
32,"When performing a release using the Maven release plugin, which environment variable for batch mode is used to define the stamp placed in SCM to indicate the state of the artifact for the actual release?","['tag', 'scmMark', 'developmentVersion', 'releaseVersion']",3
33,These are two general uses of plugins. The first is build and the second is _,"['reporting', 'servers', 'dependencies', 'distribution management']",0
34,What does the mvn clean command do?,"['It removes the target directory', 'It updates the version of the plugins defined in the POM file.', 'It removes unused dependencies in your project', 'It builds your project']",0
35,"Bellow is a definition of the Maven JAR Plugin, where the main class is set to com.palmer.bethan.App. What is the effect of this?","['Maven will generate javadocs for the App class.', 'Maven will generate an executable JAR, which can be used to run the App class.', 'Maven will include only the App class when it compiles the source code.', 'Maven will add an empty main method to the App class.']",1
36,"Suppose you are packaging a Maven project and see the following error: â€œ[WARNING] Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!â€‌ What do you add to your POM file to set the platform encoding to ensure your build is not platform dependent?","['', '', '', '']",2
37,Why might you not want to include groupId and version elements in child POM files?,"['If you include these elements, an error will be thrown when you try to build the project.', 'These elements are inherited from the parent POM file, and do not need to be repeated.', 'Child POM files should include definitions of only dependencies and plugins.', 'The values in the parent POM will be overridden by what is defined in the child POM.']",1
38,The settings.xml file that provides the user-specific settings for Maven is contained in which directory by default?,"['${maven.home}/${user.name}/settings.xml', '${user.home}/.m2/settings.xml', '${maven.home}/conf/settings.xml', '${user.home}/maven/settings.xml']",1
39,"Suppose you are using Maven in a corporate environment and, to save bandwidth, you want to prevent the need for large numbers of developers to download the same dependency from the internet. What do you do to limit this?","['Create an internal corporate repository to store copies of the necessary artifacts.', 'It is not possible to do this.', 'When defining the dependency, set the scope to provided.', 'Each developer should define the dependency in the POM file in the local copy of the project.']",0
40,"In multimodule projects, what do child POMs inherit from the parent POM?","['all of these answers', 'dependencies', 'groupId', 'version']",0
41,Below is a report generated for a multimodule project with the Checkstyle Plugin. Why might the highlighted links to the two child projects not work?,"['The Checkstyle Plugin does not work on child modules.', 'Each Checkstyle report is in the target/site folder of the respective module.', 'All links in Checkstyle reports must be specified in the plugin definition.', 'Checkstyle reports for child modules have to be behind a firewall.']",-1
42,"Which build plugin allows you to create a ""fat"" JAR file that contains all of the dependencies in the final JAR file?","['Fatjar', 'Shade', 'Dependency', 'Package']",1
43,What is the default scope for Maven dependencies?,"['Test', 'Compile', 'Runtime', 'Build']",1
44,How many times is compiler:compile called when executing mvn clean compile test package?,"['one', 'two', 'none', 'three']",-1
45,What is one of the advantages of using properties in Maven?,"['Properties provide a template for you to build Maven projects with a certain structure.', 'Properties allow you to inherit values from the parent POM in the child POM.', 'You can avoid hard-coding values in multiple places.', 'Properties speed up your Maven build.']",2
46,What are the phases of the clean lifecycle?,"['pre-clean,clean and post-clean', 'Compile, clean and install', 'clean and install', 'validate, clean and deploy']",0
47,A compile-time dependency of a dependency for your project is often called a_ dependency.,"['Transitive', 'runtime', 'provided', 'test']",-1
48,For what purpose can plugins use the validate phase in the default lifecycle?,"['to check the parent POM file defines all of the child POM files', 'to carry out checks before building the project', 'to ensure plugins defined in the POM file are in the correct order', '] to check the project structure is correct after building a project', 'ackoverflow', 'en docs']",1
49,How do you check for unused dependencies in your project?,"['Run mvn clean and look at which plugins are not mentioned in the output.', 'You will need to do this manually.', 'Include the Maven dependency plugin in your POM file and run the unpack goal.', '] Run the analyze goal of the dependency plugin.', 'eldung', 'ckoverflow']",-1
50,Why is it best practice to avoid overriding the default directory structure?,"['Keeping the default structure reduces onboarding time, because developers recognize it.', 'Overriding the default structure is very complex.', 'Overriding the default structure will cause Maven to take longer to compile your code.', 'all of these answers']",3
51,What is the main purpose of the install phase?,"['to compile the source code of the project', 'to install all of the remote dependencies', 'to deploy the final project artifacts into a remote Maven repository', 'to copy the final project artifacts into the local Maven repository']",1
52,How do you skip the tests when running a mvn package command?,"['Use -Dtest=skip', 'Use -DskipTests=true', 'Use -Dtests=pass', 'Use a plugin that can be configured to skip tests']",1
53,Below is a section of a settings.xml file. How can you use the path to the app home in your POM file?,"['${activeProfile}', '${application-home}', '${set-app-home}', '${/path/to/application}']",1
54,What is the default value of the warSourceDirectory configuration property of the Maven WAR Plugin?,"['/src/main/webapp', '/src/main/war', '/src/main/WEB-INF', '/src/web']",2
55,"When building a Maven Archetype, where do you put your prototype files?","['src/main/template', 'src/main/archetype', 'src/main/resources/archetype-resources', 'src/main/java']",2
56,"The primary purpose of Apache Maven is to provide uniform, easy, and standardized _.","['versioning', 'project structure', 'source code style', 'builds']",3
57,Below is the definition of a mirror in settings.xml. What does the element * tell Maven to do?,"['Use a sigle repository by having it mirror all repository requests', 'Mirror all repositories except for http://repomycompany.com/proxy.', 'Mirro any repositories with * in the name.', 'Use a mirror repository for every repository defined in the POM file.']",1
58,,"['Use the mvn site command.', 'Use the mvn install command.', 'This is not possible.', 'Use the mvn package command.']",0
59,,"['USER_HOME/.m2/repository', 'USER_HOME/.m2/local', 'USER_HOME/maven/repository', '/repo']",0
60,,"['the complie goal', 'the development process', 'the build lifecycle', 'the POM file']",2
